,Spike_time,Latency
0,0.025,1.2750000000016932
1,0.05,1.2625000000073712
2,0.075,1.2749999999990962
3,0.1,1.237499999976393
4,0.125,1.2499999999536442
5,0.15,1.2499999999309068
6,0.175,1.262499999908158
