,time,V,m,n,h,s
6261,78.26249999999729,-75.1854857081818,0.014995897262085603,0.5386169766871758,0.33850705033978773,0.5386169766871758
6262,78.27499999999728,-75.16767070295627,0.01502998433868491,0.5370750585490952,0.34027960674663543,0.5370750585490952
6263,78.28749999999727,-75.14974918485794,0.015064357343176247,0.5355292358500493,0.34204726620668985,0.5355292358500493
6264,78.29999999999725,-75.13170550964131,0.01509901161018003,0.5339854345489565,0.34380572759713346,0.5339854345489565
6265,78.31249999999724,-75.11353712632543,0.015133979001451789,0.5324623523275881,0.34555198679637084,0.5324623523275881
6266,78.32499999999723,-75.09525783745023,0.015169266204358699,0.5309483164401033,0.3472888378032618,0.5309483164401033
6267,78.33749999999722,-75.07686783942829,0.015204848099221699,0.5294362859470146,0.34901595022793663,0.5294362859470146
6268,78.34999999999721,-75.05836143892036,0.015240725916588838,0.5279246136725095,0.3507401488699093,0.5279246136725095
6269,78.3624999999972,-75.03972936478355,0.015276912428255214,0.5264198282683961,0.3524547281701571,0.5264198282683961
6270,78.37499999999719,-75.02097274759457,0.015313427542672255,0.5249268039552389,0.3541675770201862,0.5249268039552389
6271,78.38749999999717,-75.00209564038889,0.015350270896566126,0.5234455162751334,0.35587391963340637,0.5234455162751334
6272,78.39999999999716,-74.9831040527188,0.015387436364552151,0.5219667310201094,0.3575627403520184,0.5219667310201094
6273,78.41249999999715,-74.96399577311333,0.015424913900229214,0.5204944308827055,0.3592467240623051,0.5204944308827055
6274,78.42499999999714,-74.94477136126596,0.015462709644024904,0.519020918441187,0.36093090251791277,0.519020918441187
6275,78.43749999999713,-74.92542281222389,0.015500824293627072,0.5175660911868578,0.36260064893999894,0.5175660911868578
6276,78.44999999999712,-74.90596315084588,0.015539275594117477,0.5161170125991039,0.3642607534621677,0.5161170125991039
6277,78.4624999999971,-74.88639131526138,0.015578039518050445,0.514679964790175,0.3659186821406489,0.514679964790175
6278,78.4749999999971,-74.86671161885104,0.015617119970074677,0.5132452347674585,0.36756625585565184,0.5132452347674585
6279,78.48749999999708,-74.8469176467585,0.01565651011984717,0.5118153812324118,0.36921153224277015,0.5118153812324118
6280,78.49999999999707,-74.82700776752814,0.01569622462121593,0.510391727598476,0.3708508332064282,0.510391727598476
6281,78.51249999999706,-74.80698182356153,0.015736268637002258,0.5089809048857075,0.3724766059070672,0.5089809048857075
6282,78.52499999999705,-74.78684654178483,0.015776644404524597,0.5075749449365143,0.3741004733629996,0.5075749449365143
6283,78.53749999999704,-74.76659784854834,0.015817340250700612,0.506178974311774,0.37570875090884326,0.506178974311774
6284,78.54999999999703,-74.74623969208731,0.015858366296115776,0.5047883370725527,0.37731029551193007,0.5047883370725527
6285,78.56249999999702,-74.72577142602476,0.015899716446558323,0.503400868250681,0.37890145917985346,0.503400868250681
6286,78.574999999997,-74.70518957084307,0.015941393912590515,0.5020190087054964,0.3804865920098125,0.5020190087054964
6287,78.587499999997,-74.68449222468118,0.015983407725630134,0.5006497405528614,0.38207173392035765,0.5006497405528614
6288,78.59999999999698,-74.6636850073747,0.01602576377363201,0.4992859637805874,0.38364832235214175,0.4992859637805874
6289,78.61249999999697,-74.64276777395042,0.016068452551100815,0.4979267874470957,0.3852136548456329,0.4979267874470957
6290,78.62499999999696,-74.62173676854282,0.016111476326048594,0.49658040527488495,0.386772131193763,0.49658040527488495
6291,78.63749999999695,-74.60059999013974,0.016154844842879296,0.49523955519176,0.38832428580009476,0.49523955519176
6292,78.64999999999694,-74.57935525991732,0.01619854361022648,0.4939067221550596,0.3898724981071942,0.4939067221550596
6293,78.66249999999692,-74.55800202770594,0.016242579107556995,0.4925776103272517,0.39140930225348847,0.4925776103272517
6294,78.67499999999691,-74.53653864699001,0.016286954489540623,0.49125575717918857,0.392937324136478,0.49125575717918857
6295,78.6874999999969,-74.51496570660042,0.01633167522790357,0.4899425624781929,0.39446081317367754,0.4899425624781929
6296,78.69999999999689,-74.49328433679139,0.01637674217265239,0.48863525138966835,0.395982406401954,0.48863525138966835
6297,78.71249999999688,-74.47149333785687,0.01642215504380668,0.4873321039825754,0.3974893359696271,0.4873321039825754
6298,78.72499999999687,-74.449588437616,0.01646791845443082,0.48603796711609093,0.39898991048808474,0.48603796711609093
6299,78.73749999999686,-74.42757481802896,0.01651404354127374,0.48474590591000705,0.40048614188385334,0.48474590591000705
6300,78.74999999999685,-74.40544765808389,0.016560521569028926,0.4834653436566603,0.40196942670808405,0.4834653436566603
6301,78.76249999999683,-74.38321461943536,0.016607364909273104,0.48218796801873015,0.4034516794253885,0.48218796801873015
6302,78.77499999999682,-74.36087274562229,0.016654559530103027,0.48091988958314524,0.40492400020748515,0.48091988958314524
